"ALIAS","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Bsub_168_cells_FLT_Rep1_BS-A1","Bsub_168_cells_FLT_Rep2_BS-A2","Bsub_168_cells_FLT_Rep3_BS-A3","Bsub_168_cells_FLT_Rep4_BS-A4","Bsub_168_cells_FLT_Rep5_BS-A5","Bsub_168_cells_FLT_Rep6_BS-C1","Bsub_168_cells_FLT_Rep7_BS-C2","Bsub_168_cells_FLT_Rep8_BS-C3","Bsub_168_cells_FLT_Rep9_BS-C4","Bsub_168_cells_GC_Rep1_BS-A1","Bsub_168_cells_GC_Rep2_BS-A2","Bsub_168_cells_GC_Rep3_BS-A3","Bsub_168_cells_GC_Rep4_BS-A4","Bsub_168_cells_GC_Rep5_BS-A5","Bsub_168_cells_GC_Rep6_BS-C1","Bsub_168_cells_GC_Rep7_BS-C2","Bsub_168_cells_GC_Rep8_BS-C3","Bsub_168_cells_GC_Rep9_BS-C4","Log2fc_(FLT)v(GC)","P.value_(FLT)v(GC)","Adj.p.value_(FLT)v(GC)","Log2fc_(GC)v(FLT)","P.value_(GC)v(FLT)","Adj.p.value_(GC)v(FLT)","All.mean","All.stdev","LRT.p.value","Group.Mean_(FLT)","Group.Mean_(GC)","Group.Stdev_(FLT)","Group.Stdev_(GC)"
"BSU00110","pdxS","glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, synthase subunit","NP_387892.1","939988","224308.Bsubs1_010100000055","GO:0003824, GO:0006082, GO:0006520, GO:0006725, GO:0006732, GO:0006793, GO:0006796, GO:0006807, GO:0008152, GO:0009058, GO:0009108, GO:0009987, GO:0016787, GO:0016810, GO:0016811, GO:0016829, GO:0017144, GO:0018130, GO:0019438, GO:0019637, GO:0019752, GO:0034641, GO:0043436, GO:0044237, GO:0044238, GO:0044249, GO:0044271, GO:0044281, GO:0044283, GO:0046483, GO:0051186, GO:0051188, GO:0071704, GO:0090407, GO:1901360, GO:1901362, GO:1901564, GO:1901566, GO:1901576, GO:1901615, GO:1901617",12595.4057162692,17311.5490010406,14453.7935612217,15518.0582796563,16049.3876452663,14107.7427627389,13158.3093982031,15851.4378697378,17194.0512623852,14631.6943594566,15308.0565610515,17529.3805463431,12508.0840926581,14754.0678919986,16413.5539383763,15171.583107095,16817.9515239158,14791.6171176228,-0.0177844692676976,0.825956987030218,0.876218864056014,0.0177844692676976,0.825956987030218,0.876218864056014,15231.4291463909,1530.67354027937,0.876010972123174,"15137.75","15325.11","1671.424","1471.526"
"BSU00120","pdxT","glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, glutamine amidotransferase subunit PdxT","NP_387893.1","939971","224308.Bsubs1_010100000060","GO:0003824, GO:0005622, GO:0005623, GO:0005737, GO:0005829, GO:0006725, GO:0006732, GO:0006793, GO:0006796, GO:0006807, GO:0008152, GO:0009058, GO:0009108, GO:0009987, GO:0016787, GO:0016810, GO:0016811, GO:0017144, GO:0018130, GO:0019438, GO:0019637, GO:0032991, GO:0034641, GO:0044237, GO:0044249, GO:0044271, GO:0044281, GO:0044283, GO:0044424, GO:0044444, GO:0044464, GO:0046483, GO:0051186, GO:0051188, GO:0071704, GO:0090407, GO:1901360, GO:1901362, GO:1901564, GO:1901566, GO:1901576, GO:1901615, GO:1901617, GO:1902494",10253.590770753,15326.5530407538,12143.941368559,12935.733458567,13193.3915358392,11498.9849853273,10484.0161611223,13872.2082082701,14644.0635979388,13226.9810131756,14198.8247264088,16390.083053777,10874.4344520568,14009.1728243949,16084.5136085916,14277.2855778667,14620.5092784382,13416.0707423922,-0.15250267908066,0.113478693498471,0.193040205459557,0.15250267908066,0.113478693498471,0.193040205459557,13413.9088002351,1801.23804506236,0.193189312425665,"12705.83","14121.99","1767.699","1625.307"
"BSU00130","serS","seryl-tRNA synthetase","NP_387894.1","939994","224308.Bsubs1_010100000065","",20587.315263001,34489.1634839299,23818.4985599142,23195.4554803041,33237.5002371044,27143.8547456508,19342.0177563915,18893.8875318001,22139.1576295193,21373.9861221131,21889.1000378041,16685.1624449899,14490.7559164369,19869.4114783452,20251.1098735159,20034.531481515,16079.5688224798,22266.9938571173,0.365769894126607,0.0058055391529279,0.0157904959270054,-0.365769894126607,0.0058055391529279,0.0157904959270054,21988.1928178851,5223.28252251017,0.0159692097709403,"24760.76","19215.62","5740.073","2780.503"
"BSU00140","dck","deoxyadenosine/deoxycytidine kinase","NP_387895.1","936793","224308.Bsubs1_010100000070","GO:0003824, GO:0005622, GO:0005623, GO:0005737, GO:0006139, GO:0006725, GO:0006753, GO:0006793, GO:0006796, GO:0006807, GO:0008152, GO:0009058, GO:0009117, GO:0009123, GO:0009124, GO:0009165, GO:0009987, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0018130, GO:0019438, GO:0019637, GO:0034641, GO:0034654, GO:0044237, GO:0044238, GO:0044249, GO:0044271, GO:0044281, GO:0044424, GO:0044464, GO:0046483, GO:0055086, GO:0071704, GO:0090407, GO:1901293, GO:1901360, GO:1901362, GO:1901576",5709.96957535267,8919.0321656021,6474.45108418321,6689.0322093935,8610.82137262622,7230.01922752167,6836.42663383539,6300.38679647245,6605.06503262574,7283.40373016884,7203.63201403489,6509.02455135946,5893.06697859277,6655.37781763078,6754.50749688118,6523.06553039132,5764.99046562486,7289.0024255844,0.0818306352767442,0.365312350757222,0.487083134342962,-0.0818306352767442,0.365312350757222,0.487083134342962,6847.29306154897,847.94800059107,0.48699324301821,"7041.689","6652.897","1062.0715"," 561.1466"
"BSU00150","dgk","deoxyguanosine kinase","NP_387896.1","937037","224308.Bsubs1_010100000075","GO:0003824, GO:0005622, GO:0005623, GO:0005737, GO:0006139, GO:0006725, GO:0006753, GO:0006793, GO:0006796, GO:0006807, GO:0008152, GO:0009058, GO:0009117, GO:0009123, GO:0009124, GO:0009165, GO:0009987, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0018130, GO:0019438, GO:0019637, GO:0034641, GO:0034654, GO:0044237, GO:0044238, GO:0044249, GO:0044271, GO:0044281, GO:0044424, GO:0044464, GO:0046483, GO:0055086, GO:0071704, GO:0090407, GO:1901293, GO:1901360, GO:1901362, GO:1901576",4847.98746971415,7214.75035781913,5347.85071128915,5645.53582794041,7276.47360301651,6439.66141614561,5811.2802918312,5001.18166308875,5570.14740376275,6418.34164733972,6051.80276016969,4990.51353858466,4962.55340538434,5209.60838415927,5589.48895931827,5274.6872303671,5025.12688182869,6331.90810393102,0.0923910821754166,0.332811156906507,0.454141079439758,-0.0923910821754166,0.332811156906507,0.454141079439758,5722.71664753836,753.945243596383,0.454069790488333,"5906.097","5539.337","888.4711","585.5567"
"BSU00160","sleL","spore peptidoglycan N-acetylglucosaminidase","NP_387897.1","937029",NA,"",497.606318902461,263.683813259297,491.282264807835,579.603439130853,331.574933652023,316.57068080148,504.412063198342,516.260510023307,568.136109738162,311.4786133794,497.905881662977,360.785776518521,658.489578782812,173.777096152348,236.201113641643,730.484734372277,518.179420156843,411.291145397374,0.0620593138636062,0.793731124821817,0.854727971962794,-0.0620593138636062,0.793731124821817,0.854727971962794,442.651305198775,150.954264510577,0.854616548831229,"452.1256","433.1770","116.4988","186.1420"
"BSU00170","yaaI","putative amidase (isochorismatase family)","NP_387898.1","937036","224308.Bsubs1_010100000085","",326.518823611534,249.216077885681,422.817071832616,440.151244222431,278.835195488441,285.771445585228,344.025767277289,443.353405868366,465.445285575337,320.699300470243,399.254369785795,289.648369725282,565.78332191266,140.538944183329,222.267859566142,660.353132472006,365.37765965772,417.722136952336,-0.0546012412534624,0.810946093133674,0.867778951279823,0.0546012412534624,0.810946093133674,0.867778951279823,368.765522892913,124.590665409583,0.867753915087589,"361.7927","375.7383"," 82.27593","161.57753"
"BSU00180","tadA","tRNA specific adenosine A34 deaminase","NP_387899.1","937989","224308.Bsubs1_010100000090","GO:0003824, GO:0005622, GO:0005623, GO:0006139, GO:0006396, GO:0006399, GO:0006400, GO:0006725, GO:0006807, GO:0008033, GO:0008152, GO:0009451, GO:0009987, GO:0010467, GO:0016070, GO:0016787, GO:0016810, GO:0032991, GO:0034470, GO:0034641, GO:0034660, GO:0043170, GO:0043412, GO:0044237, GO:0044238, GO:0044424, GO:0044464, GO:0046483, GO:0071704, GO:0090304, GO:1901360, GO:1902494",1320.52132913843,867.160370828357,947.773958853602,857.481302175547,827.899556980618,958.440640763221,1557.80971187663,909.703709504693,868.076676128232,922.326283615854,914.839558502729,638.085502830335,813.849949950641,585.722564958555,675.688728562831,725.726337591741,901.798059693578,850.767642782522,0.375537442802562,0.00714670169552028,0.0188366637546213,-0.375537442802562,0.00714670169552028,0.0188366637546213,896.870660263229,227.892536721606,0.0189914075881781,"1012.7630"," 780.9783","252.4896","128.0275"
"BSU00190","dnaX","DNA polymerase III subunit tau subunit","NP_387900.2","936899","224308.Bsubs1_010100000095","GO:0006139, GO:0006259, GO:0006260, GO:0006261, GO:0006725, GO:0006807, GO:0008152, GO:0009058, GO:0009059, GO:0009987, GO:0018130, GO:0019438, GO:0034641, GO:0034645, GO:0034654, GO:0043170, GO:0044237, GO:0044238, GO:0044249, GO:0044260, GO:0044271, GO:0046483, GO:0071704, GO:0071897, GO:0090304, GO:1901360, GO:1901362, GO:1901576",12153.0568311187,13464.7456487794,11650.4415835393,12201.0716908324,12865.0394124398,11952.677840854,10233.9737531248,10573.854264789,11344.0181398387,10157.7951170824,10093.50340797,10150.2853909572,8581.19558426484,9529.49919457387,10049.4323583822,9935.63568027751,9737.39595726568,10124.1245864951,0.268547745868199,8.07227916939405e-06,4.66632534752961e-05,-0.268547745868199,8.07227916939405e-06,4.66632534752961e-05,10822.0970245881,1297.89432586954,4.78614959049078e-05,"11826.542"," 9817.652","1024.349"," 510.184"
"BSU00200","ebfC","nucleoid associated protein","NP_387901.1","937027",NA,"GO:0003676, GO:0003677, GO:0005488, GO:0097159, GO:1901363",2306.35426863337,3392.6167429506,2978.93119946212,2967.08307511755,3290.67281110599,3687.24642691552,2656.57764936574,2799.20858655352,3308.65196592291,3318.97443840229,3713.36403724327,2956.47536204334,3084.27698948645,3172.96729421579,3733.75675183738,3198.91314138911,3300.08295957313,3869.59087314596,-0.148316990616106,0.102890733288479,0.178877175893751,0.148316990616106,0.102890733288479,0.178877175893751,3207.54136518689,401.875732918831,0.17887382542104,"3043.038","3372.045","422.8578","321.7134"
"BSU00210","recR","recA filament-DNA complex stabilisation factor","NP_387902.1","937197","224308.Bsubs1_010100000105","GO:0003676, GO:0003677, GO:0005488, GO:0006139, GO:0006259, GO:0006281, GO:0008152, GO:0044238, GO:0006725, GO:0006807, GO:0006950, GO:0006974, GO:0009987, GO:0033554, GO:0034641, GO:0043170, GO:0044237, GO:0044260, GO:0046483, GO:0050896, GO:0051716, GO:0071704, GO:0090304, GO:0097159, GO:1901360, GO:1901363",4347.50258213226,6203.54854787856,5313.09656426947,5598.93082887722,5666.49969969818,6232.82208151502,4986.26984375874,4833.27449924233,6118.38271358335,6569.54971874002,7522.80432391289,5919.33903837097,5571.0908379885,6793.88689825433,7139.32784975325,6489.05328175618,5701.40504357892,7020.80886305475,-0.252564583563569,0.00367540692696098,0.0105886154018108,0.252564583563569,0.00367540692696098,0.0105886154018108,6001.53295646472,843.859020969594,0.0106722192089903,"5477.814","6525.252","663.2411","675.4158"
"BSU00220","yaaL","hypothetical protein","NP_387903.1","937026","224308.Bsubs1_010100000110","",1298.50952188614,1968.49689581037,1733.7627782641,1718.64833128916,1907.8988023893,1987.73340861935,1600.54329933641,1606.55157660913,1916.05363824168,2098.65745542679,2367.70135017523,1924.50898372454,1872.04411449232,2249.04110012854,2377.77517566756,2175.20835221,1638.16893785274,2096.5492843289,-0.256786467896398,0.00688455473605442,0.0182107576889182,0.256786467896398,0.00688455473605442,0.0182107576889182,1918.76961146957,286.673125695515,0.0182870279221829,"1748.689","2088.851","224.9315","242.8056"
"BSU00230","bofA","inhibitor of the pro-sigma(K) processing machinery","NP_387904.2","937025","224308.Bsubs1_010100000115","",397.310847280033,680.004899401004,546.299894267549,541.059362141558,638.892965239168,789.539023861104,562.201886981818,474.103740501792,610.806255073658,879.612381299809,980.624400423754,721.557723828248,768.57976384969,920.616629683501,882.686938592272,785.46638513077,705.628235588649,941.723816735758,-0.535130739511176,5.90951708034382e-06,3.57966369791552e-05,0.535130739511176,5.90951708034382e-06,3.57966369791552e-05,712.595286104452,170.080687436972,3.78240464772679e-05,"582.2465","842.9440","115.0205","100.0590"
"BSU00240","csfB","forespore-specific anti-sigma factor","NP_387905.1","937016","224308.Bsubs1_010100000120","",160.241917312859,384.314883325561,279.723320174615,130.90235825095,427.994253427801,489.975181449433,274.306707277262,144.96050009133,185.072743326383,313.698672073624,244.69671355469,176.234683614524,176.891315594392,144.271805860833,221.067623058551,109.341382778723,255.730112781392,296.986480781029,0.354525057684007,0.176798471022929,0.275102454050575,-0.354525057684007,0.176798471022929,0.275102454050575,245.35614748522,107.045631518474,0.275422802820014,"275.2769","215.4354","132.53497"," 69.06555"
"BSU00250","xpaC","putative phosphatase","NP_387906.1","937019","224308.Bsubs1_010100000125","",15642.8809773689,13878.0331197604,13332.867267066,12896.7133832531,21962.4536702677,17184.3353757849,17893.2276525693,12136.3583036624,13182.4408542832,14938.7402560683,8955.68568363712,7070.84915194196,13076.3083627133,4083.77381518367,5535.88278132437,8341.19582633434,10358.4035359529,16654.5330051089,0.633726112618123,0.00416163230161361,0.011785109951024,-0.633726112618123,0.00416163230161361,0.011785109951024,12618.0379456823,4603.92592788306,0.012181122658736,"15345.479"," 9890.597","3180.465","4264.836"
"BSU00260","yaaN","putative toxic compound resistance protein","NP_387907.1","936551","224308.Bsubs1_010100000130","",31317.9885146691,29480.1116692483,24248.3996857665,25561.2776653834,38870.2282670881,32892.3597099202,35155.598366157,21859.8086541838,24407.4265908141,25533.9449901735,19844.8287092693,13360.4789789817,24198.0906619998,7613.58903218202,9560.76170244644,16510.1343756267,20004.2739164256,27239.7594724316,0.686915286200393,0.00114110735865204,0.00378833868393381,-0.686915286200393,0.00114110735865204,0.00378833868393381,23758.8367201537,8425.63190488205,0.00397681238694909,"29310.36","18207.32","5719.228","6985.938"
"BSU00270","yaaO","putative decarboxylase","NP_387908.1","937013","224308.Bsubs1_010100000135","",24009.3876899049,20066.3020603945,16279.4768546064,19523.199508062,21369.8906115402,23340.4456114897,26346.2854620566,15596.9441325892,17484.2292086566,16275.4872146806,17665.3787269322,14123.3826230911,19014.4896492625,10513.8864817408,11320.5730759663,14683.2032516085,19704.5915103616,16983.4883426561,0.391492468168207,0.00428990642118143,0.0121146081843057,-0.391492468168207,0.00428990642118143,0.0121146081843057,18016.7023342,4172.56681946684,0.0122733210239133,"20446.24","15587.16","3663.734","3208.271"
"BSU00280","tmk","thymidylate kinase","NP_387909.2","937018","224308.Bsubs1_010100000140","GO:0003824, GO:0005622, GO:0005623, GO:0005737, GO:0006139, GO:0006220, GO:0006725, GO:0006753, GO:0006793, GO:0006796, GO:0006807, GO:0008152, GO:0009058, GO:0009117, GO:0009123, GO:0009141, GO:0009142, GO:0009165, GO:0009987, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0016776, GO:0018130, GO:0019438, GO:0019637, GO:0034641, GO:0034654, GO:0044237, GO:0044238, GO:0044249, GO:0044271, GO:0044281, GO:0044424, GO:0044464, GO:0046483, GO:0055086, GO:0071704, GO:0072527, GO:0090407, GO:1901135, GO:1901137, GO:1901293, GO:1901360, GO:1901362, GO:1901564, GO:1901566, GO:1901576",9468.61125681527,8628.65062156573,7549.93589091895,7822.96822865471,7963.96257132307,10074.7366166455,11880.9762667661,6623.76075827226,7311.10307693069,6806.44354955493,8262.72458883497,7834.74752537589,9063.0841091135,5809.56135646543,6219.62499925383,6822.52521246919,9866.18138250958,7829.59434809669,0.174530828704417,0.166292499700179,0.261392683234785,-0.174530828704417,0.166292499700179,0.261392683234785,8102.17735330924,1531.07704538011,0.261496583853428,"8591.634","7612.721","1634.475","1330.745"
"BSU00290","darA","signal transduction receptor, cyclic di-AMP binding","NP_387910.1","938610",NA,"",5369.53124018184,5336.63336296253,4588.42828505777,4388.182394472,4934.44361517987,5939.31796124562,6593.10221680244,4442.03999792872,4485.52335908406,4421.18924069145,5091.90056846479,5361.47875233399,5476.77293455928,4044.28829202435,4387.52126040355,4353.94189661389,5960.74470325847,5036.94223622659,0.0621239010076171,0.539674895087887,0.650076288207063,-0.0621239010076171,0.539674895087887,0.650076288207063,5011.77679541618,691.26632558484,0.650091274933334,"5119.689","4903.864","763.6470","637.2372"
"BSU00300","yaaR","hypothetical protein","NP_387911.1","936756","224308.Bsubs1_010100000150","",4686.21574958953,4627.79616242469,4423.2891953893,4068.77650283898,4849.19164049622,5983.17249924047,6267.74665227384,4210.62801898839,4010.79662164846,4140.92849169399,4329.28088376358,5179.10251671655,5054.0319236164,3650.6966873931,4005.30626344548,4175.86535777294,5771.84374658241,4448.08183490634,0.0816634588892493,0.463451278018957,0.583000641780665,-0.0816634588892493,0.463451278018957,0.583000641780665,4660.1528193767,734.385609131683,0.582814526578319,"4791.957","4528.349","809.7389","671.7849"
