From	To	Species	Gene Name
NP_418129	937518148	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(emrD)
NP_418129	999848457	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(emrD)
NP_414602	937521627	Escherichia coli str. K-12 substr. MG1655	DNA polymerase II(polB)
NP_414602	732685967	Escherichia coli str. K-12 substr. MG1655	DNA polymerase II(polB)
NP_414602	985003228	Escherichia coli str. K-12 substr. MG1655	DNA polymerase II(polB)
NP_414602	1786246	Escherichia coli str. K-12 substr. MG1655	DNA polymerase II(polB)
NP_414602	999847711	Escherichia coli str. K-12 substr. MG1655	DNA polymerase II(polB)
NP_414602	16128054	Escherichia coli str. K-12 substr. MG1655	DNA polymerase II(polB)
NP_414965	937521273	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit I(cyoB)
NP_414965	16128416	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit I(cyoB)
NP_414965	1786634	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit I(cyoB)
NP_414965	985003584	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit I(cyoB)
NP_414965	732685618	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit I(cyoB)
NP_414965	999847358	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit I(cyoB)
NP_414966	937521272	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit II(cyoA)
NP_414966	732685617	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit II(cyoA)
NP_414966	985003585	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit II(cyoA)
NP_414966	16128417	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit II(cyoA)
NP_414966	999847357	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit II(cyoA)
NP_414966	1786635	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit II(cyoA)
NP_414963	999847360	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit IV(cyoD)
NP_414963	16128414	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit IV(cyoD)
NP_414963	1786632	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit IV(cyoD)
NP_414963	732685620	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit IV(cyoD)
NP_414963	937521275	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit IV(cyoD)
NP_414963	985003582	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit IV(cyoD)
NP_414842	732685733	Escherichia coli str. K-12 substr. MG1655	LutC family protein; putative electron transport chain YkgEFG component(ykgG)
NP_414842	985003468	Escherichia coli str. K-12 substr. MG1655	LutC family protein; putative electron transport chain YkgEFG component(ykgG)
NP_414842	999847474	Escherichia coli str. K-12 substr. MG1655	LutC family protein; putative electron transport chain YkgEFG component(ykgG)
NP_414842	87081718	Escherichia coli str. K-12 substr. MG1655	LutC family protein; putative electron transport chain YkgEFG component(ykgG)
NP_414842	937521389	Escherichia coli str. K-12 substr. MG1655	LutC family protein; putative electron transport chain YkgEFG component(ykgG)
NP_414842	90111113	Escherichia coli str. K-12 substr. MG1655	LutC family protein; putative electron transport chain YkgEFG component(ykgG)
NP_414601	937521628	Escherichia coli str. K-12 substr. MG1655	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase(rapA)
NP_414601	1786245	Escherichia coli str. K-12 substr. MG1655	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase(rapA)
NP_414601	732685968	Escherichia coli str. K-12 substr. MG1655	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase(rapA)
NP_414601	985003227	Escherichia coli str. K-12 substr. MG1655	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase(rapA)
NP_414601	16128053	Escherichia coli str. K-12 substr. MG1655	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase(rapA)
NP_414601	999847712	Escherichia coli str. K-12 substr. MG1655	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase(rapA)
NP_414964	16128415	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit III(cyoC)
NP_414964	1786633	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit III(cyoC)
NP_414964	732685619	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit III(cyoC)
NP_414964	999847359	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit III(cyoC)
NP_414964	985003583	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit III(cyoC)
NP_414964	937521274	Escherichia coli str. K-12 substr. MG1655	cytochrome o ubiquinol oxidase subunit III(cyoC)
NP_415930	999850629	Escherichia coli str. K-12 substr. MG1655	NADH-azoreductase, FMN-dependent(azoR)
NP_415930	1787680	Escherichia coli str. K-12 substr. MG1655	NADH-azoreductase, FMN-dependent(azoR)
NP_415930	937520326	Escherichia coli str. K-12 substr. MG1655	NADH-azoreductase, FMN-dependent(azoR)
NP_415930	985004533	Escherichia coli str. K-12 substr. MG1655	NADH-azoreductase, FMN-dependent(azoR)
NP_415930	732684673	Escherichia coli str. K-12 substr. MG1655	NADH-azoreductase, FMN-dependent(azoR)
NP_415930	16129373	Escherichia coli str. K-12 substr. MG1655	NADH-azoreductase, FMN-dependent(azoR)
NP_414840	937521391	Escherichia coli str. K-12 substr. MG1655	cysteine-rich LutA family protein; putative electron transport chain YkgEFG component(ykgE)
NP_414840	1786497	Escherichia coli str. K-12 substr. MG1655	cysteine-rich LutA family protein; putative electron transport chain YkgEFG component(ykgE)
NP_414840	732685735	Escherichia coli str. K-12 substr. MG1655	cysteine-rich LutA family protein; putative electron transport chain YkgEFG component(ykgE)
NP_414840	1657505	Escherichia coli str. K-12 substr. MG1655	cysteine-rich LutA family protein; putative electron transport chain YkgEFG component(ykgE)
NP_414840	999847476	Escherichia coli str. K-12 substr. MG1655	cysteine-rich LutA family protein; putative electron transport chain YkgEFG component(ykgE)
NP_414840	16128291	Escherichia coli str. K-12 substr. MG1655	cysteine-rich LutA family protein; putative electron transport chain YkgEFG component(ykgE)
NP_414840	985003466	Escherichia coli str. K-12 substr. MG1655	cysteine-rich LutA family protein; putative electron transport chain YkgEFG component(ykgE)
NP_414841	732685734	Escherichia coli str. K-12 substr. MG1655	ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component(ykgF)
NP_414841	937521390	Escherichia coli str. K-12 substr. MG1655	ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component(ykgF)
NP_414841	1786498	Escherichia coli str. K-12 substr. MG1655	ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component(ykgF)
NP_414841	985003467	Escherichia coli str. K-12 substr. MG1655	ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component(ykgF)
NP_414841	999847475	Escherichia coli str. K-12 substr. MG1655	ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component(ykgF)
NP_414841	16128292	Escherichia coli str. K-12 substr. MG1655	ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component(ykgF)
NP_414841	1657506	Escherichia coli str. K-12 substr. MG1655	ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component(ykgF)
NP_415498	732685095	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit II(cbdB)
NP_415498	999851050	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit II(cbdB)
NP_415498	1787213	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit II(cbdB)
NP_415498	985004108	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit II(cbdB)
NP_415498	937520753	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit II(cbdB)
NP_415498	16128945	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit II(cbdB)
NP_415497	1787212	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit I(cbdA)
NP_415497	985004107	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit I(cbdA)
NP_415497	16128944	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit I(cbdA)
NP_415497	999851051	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit I(cbdA)
NP_415497	937520754	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit I(cbdA)
NP_415497	732685096	Escherichia coli str. K-12 substr. MG1655	cytochrome bd-II oxidase, subunit I(cbdA)
NP_416460	16129897	Escherichia coli str. K-12 substr. MG1655	flagellar export pore protein(fliR)
NP_416460	937519800	Escherichia coli str. K-12 substr. MG1655	flagellar export pore protein(fliR)
NP_416460	999850103	Escherichia coli str. K-12 substr. MG1655	flagellar export pore protein(fliR)
NP_416460	1788261	Escherichia coli str. K-12 substr. MG1655	flagellar export pore protein(fliR)
NP_416460	732684155	Escherichia coli str. K-12 substr. MG1655	flagellar export pore protein(fliR)
NP_416460	985000838	Escherichia coli str. K-12 substr. MG1655	flagellar export pore protein(fliR)
NP_416580	16130016	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system, subunit C(mdtC)
NP_416580	937519690	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system, subunit C(mdtC)
NP_416580	999849993	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system, subunit C(mdtC)
NP_416580	732684042	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system, subunit C(mdtC)
NP_416580	1788391	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system, subunit C(mdtC)
NP_416580	985000948	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system, subunit C(mdtC)
NP_417221	1789098	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, sigma S (sigma 38) factor(rpoS)
NP_417221	732683416	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, sigma S (sigma 38) factor(rpoS)
NP_417221	985001577	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, sigma S (sigma 38) factor(rpoS)
NP_417221	882634	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, sigma S (sigma 38) factor(rpoS)
NP_417221	937519059	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, sigma S (sigma 38) factor(rpoS)
NP_417221	16130648	Escherichia coli str. K-12 substr. MG1655	RNA polymerase, sigma S (sigma 38) factor(rpoS)
NP_418156	999848429	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, beta subunit(dnaN)
NP_418156	1790136	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, beta subunit(dnaN)
NP_418156	16131569	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, beta subunit(dnaN)
NP_418156	732686690	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, beta subunit(dnaN)
NP_418156	937518120	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, beta subunit(dnaN)
NP_418156	985002507	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III, beta subunit(dnaN)
NP_417068	732683556	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma E factor(rpoE)
NP_417068	16130498	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma E factor(rpoE)
NP_417068	985001435	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma E factor(rpoE)
NP_417068	937519202	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma E factor(rpoE)
NP_417068	1788926	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma E factor(rpoE)
NP_417068	999849505	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma E factor(rpoE)
NP_417102	145698303	Escherichia coli str. K-12 substr. MG1655	cytochrome c assembly protein family inner membrane protein(ypjD)
NP_417102	999851450	Escherichia coli str. K-12 substr. MG1655	cytochrome c assembly protein family inner membrane protein(ypjD)
NP_417102	145693174	Escherichia coli str. K-12 substr. MG1655	cytochrome c assembly protein family inner membrane protein(ypjD)
NP_417102	937521748	Escherichia coli str. K-12 substr. MG1655	cytochrome c assembly protein family inner membrane protein(ypjD)
NP_417102	732686904	Escherichia coli str. K-12 substr. MG1655	cytochrome c assembly protein family inner membrane protein(ypjD)
NP_417102	985004883	Escherichia coli str. K-12 substr. MG1655	cytochrome c assembly protein family inner membrane protein(ypjD)
NP_417500	985001851	Escherichia coli str. K-12 substr. MG1655	NADPH quinone reductase(mdaB)
NP_417500	1789406	Escherichia coli str. K-12 substr. MG1655	NADPH quinone reductase(mdaB)
NP_417500	937518784	Escherichia coli str. K-12 substr. MG1655	NADPH quinone reductase(mdaB)
NP_417500	882558	Escherichia coli str. K-12 substr. MG1655	NADPH quinone reductase(mdaB)
NP_417500	999849090	Escherichia coli str. K-12 substr. MG1655	NADPH quinone reductase(mdaB)
NP_417500	732683144	Escherichia coli str. K-12 substr. MG1655	NADPH quinone reductase(mdaB)
NP_417500	16130924	Escherichia coli str. K-12 substr. MG1655	NADPH quinone reductase(mdaB)
NP_417105	999849470	Escherichia coli str. K-12 substr. MG1655	NAD kinase(nadK)
NP_417105	16130534	Escherichia coli str. K-12 substr. MG1655	NAD kinase(nadK)
NP_417105	732683520	Escherichia coli str. K-12 substr. MG1655	NAD kinase(nadK)
NP_417105	985001472	Escherichia coli str. K-12 substr. MG1655	NAD kinase(nadK)
NP_417105	937519165	Escherichia coli str. K-12 substr. MG1655	NAD kinase(nadK)
NP_417105	1788968	Escherichia coli str. K-12 substr. MG1655	NAD kinase(nadK)
NP_418713	537134	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor(fecI)
NP_418713	732686139	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor(fecI)
NP_418713	16132114	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor(fecI)
NP_418713	1790746	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor(fecI)
NP_418713	999847883	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor(fecI)
NP_418713	937517572	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor(fecI)
NP_418713	985003055	Escherichia coli str. K-12 substr. MG1655	RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor(fecI)
NP_417748	985002091	Escherichia coli str. K-12 substr. MG1655	NAD-binding component of TrK potassium transporter(trkA)
NP_417748	16131169	Escherichia coli str. K-12 substr. MG1655	NAD-binding component of TrK potassium transporter(trkA)
NP_417748	1789685	Escherichia coli str. K-12 substr. MG1655	NAD-binding component of TrK potassium transporter(trkA)
NP_417748	937518543	Escherichia coli str. K-12 substr. MG1655	NAD-binding component of TrK potassium transporter(trkA)
NP_417748	999848850	Escherichia coli str. K-12 substr. MG1655	NAD-binding component of TrK potassium transporter(trkA)
NP_417748	606224	Escherichia coli str. K-12 substr. MG1655	NAD-binding component of TrK potassium transporter(trkA)
NP_417748	732682903	Escherichia coli str. K-12 substr. MG1655	NAD-binding component of TrK potassium transporter(trkA)
NP_414996	985003615	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system(acrA)
NP_414996	732685588	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system(acrA)
NP_414996	16128447	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system(acrA)
NP_414996	1786668	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system(acrA)
NP_414996	937521242	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system(acrA)
NP_414996	999847327	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system(acrA)
NP_416779	937519492	Escherichia coli str. K-12 substr. MG1655	NADH:ubiquinone oxidoreductase, membrane subunit N(nuoN)
NP_416779	145698289	Escherichia coli str. K-12 substr. MG1655	NADH:ubiquinone oxidoreductase, membrane subunit N(nuoN)
NP_416779	732683845	Escherichia coli str. K-12 substr. MG1655	NADH:ubiquinone oxidoreductase, membrane subunit N(nuoN)
NP_416779	999849795	Escherichia coli str. K-12 substr. MG1655	NADH:ubiquinone oxidoreductase, membrane subunit N(nuoN)
NP_416779	985001145	Escherichia coli str. K-12 substr. MG1655	NADH:ubiquinone oxidoreductase, membrane subunit N(nuoN)
NP_416779	145693160	Escherichia coli str. K-12 substr. MG1655	NADH:ubiquinone oxidoreductase, membrane subunit N(nuoN)
NP_415601	985004208	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein(flgL)
NP_415601	999850950	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein(flgL)
NP_415601	1787324	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein(flgL)
NP_415601	937520652	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein(flgL)
NP_415601	16129046	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein(flgL)
NP_415601	732684993	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein(flgL)
NP_415600	732684994	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein 1(flgK)
NP_415600	1787323	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein 1(flgK)
NP_415600	985004207	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein 1(flgK)
NP_415600	999850951	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein 1(flgK)
NP_415600	937520653	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein 1(flgK)
NP_415600	16129045	Escherichia coli str. K-12 substr. MG1655	flagellar hook-filament junction protein 1(flgK)
NP_414995	985003614	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(acrB)
NP_414995	732685589	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(acrB)
NP_414995	16128446	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(acrB)
NP_414995	1786667	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(acrB)
NP_414995	937521243	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(acrB)
NP_414995	999847328	Escherichia coli str. K-12 substr. MG1655	multidrug efflux system protein(acrB)
NP_414751	16128202	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III epsilon subunit(dnaQ)
NP_414751	1786409	Escherichia coli str. K-12 substr. MG1655	DNA polymerase III epsilon subunit(dnaQ)
NP_416254	999850308	Escherichia coli str. K-12 substr. MG1655	NAD synthetase, NH3/glutamine-dependent(nadE)
NP_416254	985000630	Escherichia coli str. K-12 substr. MG1655	NAD synthetase, NH3/glutamine-dependent(nadE)
NP_416254	1788036	Escherichia coli str. K-12 substr. MG1655	NAD synthetase, NH3/glutamine-dependent(nadE)
NP_416254	937520005	Escherichia coli str. K-12 substr. MG1655	NAD synthetase, NH3/glutamine-dependent(nadE)
NP_416254	16129694	Escherichia coli str. K-12 substr. MG1655	NAD synthetase, NH3/glutamine-dependent(nadE)
NP_416254	732684353	Escherichia coli str. K-12 substr. MG1655	NAD synthetase, NH3/glutamine-dependent(nadE)
